Occurrence	Word
13076	và
12313	cu3a
10587	mô5t
10488	có
10303	là
8451	không
8387	cho
8383	các
8149	trong
7585	ddã
6620	ddu'o'5c
6434	ngu'o'2i
6065	nhu'4ng
5396	vo'1i
4984	ddê3
4881	ra
4685	con
4645	ddê1n
4548	vào
4403	này
4224	ông
4210	công
4088	nhu'
4068	cu4ng
4025	vê2
4005	o'3
3942	nhà
3890	khi
3811	dân
3806	la5i
3762	làm
3724	ddó
3637	pha3i
3484	tôi
3413	chính
3360	na(m
3290	ddi
3268	se4
3218	bi5
3195	tu'2
3176	nu'o'1c
3166	thê1
3139	quô1c
3105	ta5i
3032	thê3
3007	nói
2991	trên
2941	thì
2899	thành
2895	nhu'ng
2890	nhiê2u
2861	ngày
2847	còn
2842	chi3
2810	lên
2759	nam
2709	su'5
2705	mà
2656	ddâ2u
2571	sau
2528	ca3
2504	nhân
2476	sô1
2459	viê5c
2419	gia
2399	theo
2386	vì
2371	anh
2370	viê5t
2244	chúng
2216	chu3
2211	mình
2205	hai
2189	hô5i
2181	ho5c
2176	ddô2ng
2131	quan
2130	do
2118	ddang
2100	ta
2095	biê1t
2078	quyê2n
2075	ho'n
2048	ddô5ng
2045	hoa
2040	thâ1y
2009	qua
1998	trung
1991	ho5
1940	ky2
1925	ddây
1908	râ1t
1883	nào
1875	hiê5n
1857	tru'o'2ng
1818	tru'o'1c
1808	bô5
1807	viên
1797	cuô5c
1786	mo'1i
1766	rô2i
1729	ra(2ng
1705	ddiê2u
1681	nhâ1t
1672	cách
1668	hàng
1665	bà
1659	khác
1652	hay
1641	nay
1626	sinh
1620	ddi5nh
1609	tê1
1588	cùng
1549	cô
1539	vu5
1538	nên
1531	cái
1502	my4
1491	gio'1i
1481	vâ4n
1469	dda5i
1438	hành
1437	nhâ5n
1428	tu'5
1419	thu3
1414	ba
1413	ddô1i
1395	tháng
1388	me5
1386	tình
1368	tho'2i
1363	chu'1c
1343	phát
1330	va(n
1329	cao
1324	tiê1p
1317	ba5n
1317	báo
1314	gì
1310	em
1307	a(n
1298	kinh
1296	lý
1292	thu'1
1283	co'
1279	lo'1n
1276	2006
1268	pháp
1263	nó
1263	quân
1259	tu'
1255	lúc
1252	nô5i
1251	tin
1248	ba(2ng
1233	ddâ1t
1230	ddê2
1221	ba(1t
1218	ý
1211	kê1t
1196	tiê2n
1195	thông
1178	tiê1ng
1172	to'1i
1169	chiê1n
1163	hình
1159	1
1159	cô5ng
1159	nê1u
1152	gio'2
1146	gia3i
1144	ddu'o'2ng
1138	trình
1137	lo'2i
1136	ba3o
1133	giá
1133	liên
1130	lâ2n
1129	sa3n
1127	2
1124	bình
1124	câ2u
1123	ddô5
1108	vu'2a
1103	tro'3
1101	muô1n
1100	ba3n
1099	an
1087	giáo
1086	quyê1t
1085	quá
1083	toàn
1079	thu'5c
1072	qua3
1071	ddô5i
1071	ho'5p
1066	thi
1058	nhiên
1054	chu'a
1052	tô3
1049	bé
1049	ma(5t
1043	ai
1043	tri5
1035	tâm
1033	câ2n
1029	hôm
1019	tay
1015	tài
1013	ngoài
1010	vâ5y
1000	phâ2n
998	dda3ng
991	tranh
988	thâ5t
985	nu'4a
984	dda5o
984	du'5
981	tìm
981	xuâ1t
977	vi5
975	lu'5c
968	tô3ng
946	nhau
946	sô1ng
940	thu'o'2ng
935	ddê2u
930	ngay
917	sách
914	sao
913	tên
907	chê1
907	hà
905	3
905	thô1ng
899	tro5ng
883	thu'o'ng
882	gian
879	câ1p
878	nguyê4n
877	lâ5p
874	ddu'a
874	thi5
872	hê1t
868	tham
866	xuô1ng
864	ddình
864	ma5nh
864	xe
858	ta(ng
855	ho3i
854	ddiê3m
854	si4
844	luâ5t
827	bâ1t
823	lâ1y
822	lãnh
821	bên
821	thu'1c
818	chuyê5n
817	mo5i
813	bác
813	chú
809	thanh
806	ddu'1c
799	ban
798	bô1
795	gâ2n
792	nhìn
791	7
791	bao
790	minh
785	ddá
783	phu'o'ng
779	cây
779	go5i
778	ddâ1u
774	bo3
771	tác
771	trâ5n
770	ngoa5i
770	tra3
769	ddánh
768	tâ1t
767	nguyên
759	no'i
758	giu'4a
756	â1y
756	tiên
755	nghi5
753	vâ1n
751	cu'1
742	phòng
741	tre3
740	nghe
737	hê5
733	tính
733	ty
728	hóa
728	na(ng
726	xã
725	tuy
724	5
723	lu'o'5ng
719	triê5u
718	ddông
717	nghiê5p
716	chiê1c
715	du5ng
714	tiêu
712	tiê1n
711	thêm
709	ma5ng
702	tu5c
700	bê5nh
697	bán
696	tru'o'3ng
694	cho'i
691	cáo
689	giúp
687	sáng
686	thay
685	xem
682	cha5y
680	chí
680	ddâu
678	biê3u
678	cu'3
676	nho3
676	tuô3i
674	ca3m
672	ddiê5n
672	thái
670	6
666	vâ5t
664	bay
664	tra5ng
662	diê4n
660	mô4i
659	thích
658	kê3
658	khó
657	án
656	ca3nh
656	vn
651	triê3n
650	giao
647	xin
642	dù
639	lo'5i
635	vô
634	chi5
632	4
632	cá
631	thâ2n
629	yêu
628	a3nh
626	phô1
625	bóng
624	phu3
623	khoa3ng
622	loa5i
620	mâ1t
619	ddô5c
619	máy
618	bài
617	su'1c
616	hoàng
615	ddi5a
613	cuô1i
609	thân
604	ddô3i
603	tu'2ng
601	khu
601	ta5o
599	thu
598	chô1ng
598	ti3nh
598	viê5n
594	châu
594	mang
593	càng
590	hô2
589	dde5p
589	lòng
586	ba(1c
583	pha5m
581	áp
580	vùng
579	ga(5p
579	hoàn
577	gây
575	tâ1n
573	chê1t
572	tâ5p
569	du'o'1i
568	tu'3
565	vàng
559	nghi4
558	chung
558	mua
552	dài
551	khách
549	bàn
549	vua
547	mu'1c
546	sát
545	cu'3a
544	tô1t
543	kiê1n
541	ma(1t
540	ddoàn
540	ddu'1ng
538	tra
537	luâ5n
536	10
536	chi
535	ddúng
535	hiê5u
535	kho3i
535	phi
534	sang
533	mo'3
532	ký
531	to
530	câu
530	cha(3ng
530	nghi4a
529	biê5t
529	chân
529	khai
529	nhâ5p
528	0
528	gia3
527	di5ch
526	so'3
525	tô5i
525	tro'2i
524	chuyên
524	cu'1u
523	dâ4n
523	ddu3
523	tu'1c
521	kê1
519	hô5
514	chi5u
508	cô1
508	dùng
508	tu'o'1ng
507	dda(5c
506	nhiê5m
505	doanh
504	hoa5t
504	vu4
503	ddo'2i
499	ddàn
499	hoa(5c
498	su'3
498	tích
494	nô3i
493	phu5
492	truyê2n
487	xây
486	phía
485	tuyê3n
483	xét
482	nhâ5t
481	ít
480	tho3
479	diê5n
477	giu'4
477	xa
476	ddâ2y
476	thiê1t
475	cô3
475	lâu
474	châ1t
474	ddáng
474	gâ1u
474	su'
474	thu'
473	rõ
473	vu'5c
472	cung
471	biê1n
470	câ2m
470	tinh
469	nga
467	hô2i
467	luôn
465	du'5ng
463	biê3n
463	dda
463	lan
462	mu5c
462	vâ5n
461	ha3i
459	dda(5t
458	hâ5u
457	tây
457	thuô5c
455	bush
455	hãy
454	gái
453	bo'3i
452	dâ2u
452	trang
451	tô1i
450	vo'5
448	chu'1ng
448	csvn
448	kêu
448	vo5ng
445	vòng
443	trâ2n
441	khiê1n
441	viê1t
440	câ5u
440	li5ch
439	hòa
439	tu'o'3ng
438	chàng
434	lo
431	cu5
431	ha5
430	nàng
429	na(2m
427	niên
426	vê5
425	danh
425	khí
424	kéo
424	tro'5
424	vui
424	y
423	mâ1y
416	xa3y
415	vi
414	tha(1ng
413	sân
412	so'5
412	tuâ2n
411	chu'o'ng
411	nhóm
409	ddô
408	trách
407	chim
405	di
404	na5n
403	hoa5ch
402	hiê5p
402	phút
402	ti5ch
400	tu'o'ng
398	ddo'n
398	ngô2i
397	phong
397	riêng
396	chô2ng
396	ddêm
396	trò
395	khoa
395	kiê5n
395	trí
395	tu'o'5ng
392	8
391	â1n
391	gia3m
390	phâ3m
389	âu
389	chuyê3n
389	vài
388	hiê3u
388	phu5c
387	mai
387	xu'3
384	ddào
382	chúa
382	thuyê2n
382	tuyên
380	20
380	cánh
380	cha
380	ddòi
379	kim
379	phá
379	pha3n
378	la(1m
378	tôn
378	trái
377	ddô2
377	thuâ5t
375	u'1ng
373	kha3
